[27/05/2010 21:12:41] /owner nobody
[28/05/2010 17:28:06] /up
[28/05/2010 17:28:34] /m infernatill
[28/05/2010 17:28:49] /m training monk
[28/05/2010 17:28:55] /r
[28/05/2010 17:31:49] /down
[28/05/2010 17:31:55] /a 20
[28/05/2010 17:32:04] /a 16
[28/05/2010 17:32:07] /a 6
[28/05/2010 17:32:10] /a 6
[28/05/2010 17:32:12] /a 6
[28/05/2010 17:32:38] /a 10
[28/05/2010 17:32:52] /a 2
[28/05/2010 17:35:23] /m 2505
[28/05/2010 17:35:38] /i 2505
[28/05/2010 17:35:51] /i 2305
[28/05/2010 17:36:08] /i 2503
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:39:44] /addskill GOD Brolly, magic
[28/05/2010 17:41:28] /a 2
[28/05/2010 17:43:46] /i 7366
[28/05/2010 17:44:20] /t
[28/05/2010 17:44:25] /a 2
[28/05/2010 17:50:00] /r
[28/05/2010 17:50:04] /r
[28/05/2010 17:50:07] /r
[28/05/2010 17:50:08] /r
[28/05/2010 19:12:10] /addskill GOD Brolly, magic
[28/05/2010 19:12:10] /addskill GOD Brolly, magic
[28/05/2010 19:12:10] /addskill GOD Brolly, magic
[28/05/2010 19:12:10] /addskill GOD Brolly, magic
[28/05/2010 19:12:10] /addskill GOD Brolly, magic
[28/05/2010 19:15:02] /i assassin star
[28/05/2010 19:21:57] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:58] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:21:59] /addskill Brolly, level
[28/05/2010 19:22:20] /addskill Brolly, level
[28/05/2010 19:22:21] /addskill Brolly, level
[28/05/2010 19:22:21] /addskill Brolly, level
[28/05/2010 19:22:21] /addskill Brolly, level
[28/05/2010 19:22:22] /addskill Brolly, level
[28/05/2010 19:22:22] /addskill Brolly, level
[28/05/2010 19:22:22] /addskill Brolly, level
[28/05/2010 19:22:22] /addskill Brolly, level
[28/05/2010 19:22:23] /addskill Brolly, level
[28/05/2010 19:22:23] /addskill Brolly, level
[28/05/2010 19:22:23] /addskill Brolly, level
[28/05/2010 19:22:23] /addskill Brolly, level
[28/05/2010 19:22:24] /addskill Brolly, level
[28/05/2010 19:22:24] /addskill Brolly, level
[28/05/2010 19:22:24] /addskill Brolly, level
[28/05/2010 19:22:25] /addskill Brolly, level
[28/05/2010 19:22:27] /addskill Brolly, level
[28/05/2010 19:22:27] /addskill Brolly, level
[28/05/2010 19:22:27] /addskill Brolly, level
[28/05/2010 19:22:29] /addskill Brolly, level
[28/05/2010 19:22:31] /addskill Brolly, level
[28/05/2010 19:22:31] /addskill Brolly, level
[28/05/2010 19:22:31] /addskill Brolly, level
[28/05/2010 19:22:34] /addskill Brolly, level
[28/05/2010 19:22:36] /addskill Brolly, level
[28/05/2010 19:22:36] /addskill Brolly, level
[28/05/2010 19:22:37] /addskill Brolly, level
[28/05/2010 19:22:38] /addskill Brolly, level
[28/05/2010 19:22:38] /addskill Brolly, level
[28/05/2010 19:22:46] /addskill Brolly, level
[28/05/2010 19:22:46] /addskill Brolly, level
[28/05/2010 19:22:47] /addskill Brolly, level
[28/05/2010 19:22:47] /addskill Brolly, level
[28/05/2010 19:22:47] /addskill Brolly, level
[28/05/2010 19:22:48] /addskill Brolly, level
[28/05/2010 19:22:48] /addskill Brolly, level
[28/05/2010 19:22:48] /addskill Brolly, level
